curator_acct,curator_display_name,curator_profile_url,curator_id,collection_name,description,item_count,language,sensitive,discoverable,local,collection_url,collection_uri,collection_id,created_at,updated_at,item_account_ids
Gargron,Eugen Rochko,https://mastodon.social/@Gargron,1,Artists of Mastodon,,24,en,False,True,True,https://mastodon.social/collections/116777306758391615,https://mastodon.social/ap/users/1/collections/116777306758391615,116777306758391615,2026-06-19T14:44:51.133Z,2026-06-20T00:10:51.939Z,115983181921950912;232742;111093099214464689;112158469673929208;110645833556279910;112417535611751431;110653013326420455;578792;113850738796785805;109364029995352079;109628944602991580;109258408669494276;109362937594314140;222826;212614;1383435;108204144634090961;109314097148619306;113843457343282111;109457245762979900;110667417907933388;109308136204741631;228208;109362925343085011
paulox@fosstodon.org,Paolo Melchiorre,https://fosstodon.org/@paulox,829061,Python Conferences,A list of Mastodon accounts of general Python conferences like PyCon and similar conferences.,21,en,False,True,False,https://fosstodon.org/collections/116855054431403069,https://fosstodon.org/ap/users/129461/collections/116855054431403069,116855054453829428,2026-07-03T08:17:06.799Z,2026-07-03T17:00:38.244Z,110840491121128098;109517083362128218;115141311297225657;109524472215548850;110147091305171164;109364915031765860;110060861472684500;109379027683820368;110821625955814933;114324493215559715;111088717154015685;109366760315817919;110951148684027750;114412269825449285;109404161749957194;109904355655523820;110788182508084980;112150610457004309;113339293341476949;112243638708932392;110654888440885021
GossiTheDog@cyberplace.social,Kevin Beaumont,https://cyberplace.social/@GossiTheDog,109387541307161560,Cybersecurity peoples,,20,en,False,True,False,https://cyberplace.social/collections/116834282425494228,https://cyberplace.social/ap/users/109387499752708037/collections/116834282425494228,116834284599880617,2026-06-29T16:15:03.987Z,2026-07-10T17:26:11.987Z,109292722043085881;109819988427781245;112363094371540334;112788020035483317;109261026948960351;110023568395961834;198226;109286243725241709;109390168581476773;111151508408024585;10848;109346167026902841;114274750156743158;108195228113352729;109557409731755980;109517149358253279;109639896711162541;115108556477833750;58317;109301634986042640
btp@fosstodon.org,Brandon,https://fosstodon.org/@btp,110345391523378584,Fosstonauts,"The Fosstodon team, founders, and other's who've been a part of or contributed to this community.",16,en,False,True,False,https://fosstodon.org/collections/116768884064559349,https://fosstodon.org/ap/users/110345242357005448/collections/116768884064559349,116768884093577398,2026-06-18T03:02:51.455Z,2026-06-25T00:19:11.483Z,107339979125371909;1361990;108129408207367837;109916102746426162;656003;1024241;185342;109553429141175086;110369058702820746;185334;109325887458871919;1274329;110575021263197065;111148116736431695;355302;774982
eclecticpassions@fosstodon.org,Naty S,https://fosstodon.org/@eclecticpassions,110632532573979423,My Favourite Bloggers,Here are some bloggers I follow on Mastodon.,14,en,False,True,False,https://fosstodon.org/collections/116776403249838997,https://fosstodon.org/ap/users/110631569439879798/collections/116776403249838997,116776403273254068,2026-06-19T10:55:05.026Z,2026-06-25T15:42:32.195Z,112139364041589022;115706496462927768;110197334439748025;110973899073659814;109742414877250719;109246411862197824;109268541683326819;30873;562088;107804364473171756;107339979125371909;185334;110345391523378584;111939644461754052
Gargron,Eugen Rochko,https://mastodon.social/@Gargron,1,Web comics of Mastodon,,13,,False,True,True,https://mastodon.social/collections/116533503334952204,https://mastodon.social/ap/users/1/collections/116533503334952204,116533503334952204,2026-05-07T13:22:26.158Z,2026-05-07T13:22:26.158Z,233670;236983;113895708703849494;111286952498156301;109332012194693192;283242;235237;110088839669809029;106685154029428214;293497;109521032613939160;116430481286912571;113432865099684084
stanfromireland,Stan 🐍,https://mastodon.social/@stanfromireland,113895681011262337,Python Core Team,,10,,False,True,True,https://mastodon.social/collections/116540107831540575,https://mastodon.social/ap/users/113895681011262337/collections/116540107831540575,116540107831540575,2026-05-08T17:22:02.767Z,2026-05-08T18:12:43.749Z,113895681011262337;414726;64048;41800;110417987154423917;112278479130359462;114633944987767035;32750;109246649395593441;965786
floppy@mastodon.me.uk,James Smith 💾,https://mastodon.me.uk/@Floppy,51951,Hat Villagers,"Members of Electromagnetic Field's ""Hat Village""",6,en,False,True,False,https://mastodon.me.uk/collections/116924486223172384,https://mastodon.me.uk/ap/users/1/collections/116924486223172384,116924486798242765,2026-07-15T14:34:40.306Z,2026-07-16T12:16:37.893Z,234032;108194634148076054;51951;109394060076786387;62278;112492879809718894
Gargron,Eugen Rochko,https://mastodon.social/@Gargron,1,News organizations of Mastodon,,6,en,False,True,True,https://mastodon.social/collections/116784146949292427,https://mastodon.social/ap/users/1/collections/116784146949292427,116784146949292427,2026-06-20T19:44:24.162Z,2026-06-20T19:44:24.162Z,109387785486735851;109365953730768772;254743;109468671511054313;110107877918677266;110113857765937497
paulox@fosstodon.org,Paolo Melchiorre,https://fosstodon.org/@paulox,829061,2026 DSF board of directors,2026 Django Software Foundation's board of directors https://www.djangoproject.com/foundation/#board,6,en,False,True,False,https://fosstodon.org/collections/116854987292715462,https://fosstodon.org/ap/users/129461/collections/116854987292715462,116854987315483759,2026-07-03T08:00:02.351Z,2026-07-03T08:04:39.439Z,829061;109247296575485928;111874495826565694;112168614017616910;109259289502686428;32442
mellifluousbox,Felix Hlatky,https://mastodon.social/@mellifluousbox,1002649,History,,5,en,False,True,True,https://mastodon.social/collections/116843436442889237,https://mastodon.social/ap/users/1002649/collections/116843436442889237,116843436442889237,2026-07-01T07:02:30.052Z,2026-07-01T07:09:47.637Z,1372518;108137777584943230;109363522574341875;110790603503174830;109581951934443541
